SOW ID,# Days before expiration,SOW Status,SOW title,Contract Id,Active SOW workers,Start Date,End date,Latest maximum budget,currency,supplier,Business Unit,Primary LOB,SOW owner
SOW-2024-0022,-6,Expired,Software Development Services,CNT-2024-0022,1,2025-05-27,2025-11-23,366656,USD,Cognizant,Finance,Quality Assurance,John Martinez
SOW-2024-CRIT-003,-5,Expired,Cybersecurity Operations Support,CNT-2024-CRIT-003,8,2024-11-24,2025-11-24,450000,USD,Cognizant,Technology,Cybersecurity,Jennifer Lee
SOW-2025-0006,-5,Expired,DevOps Pipeline Implementation,CNT-2025-0006,0,2025-02-27,2025-11-24,58582,USD,CloudMasters Ltd,Marketing,IT Infrastructure,Carlos Hernandez
SOW-2023-0050,-5,Expired,Data Analytics Consulting,CNT-2023-0050,0,2025-02-27,2025-11-24,163038,USD,DataCore Systems,Operations,IT Infrastructure,Jennifer Lee
SOW-2023-0053,-4,Expired,Cybersecurity Assessment and Remediation,CNT-2023-0053,0,2025-02-28,2025-11-25,42921,USD,TCS,Engineering,Quality Assurance,William Brown
SOW-2025-0101,-4,Expired,Data Engineering Team Augmentation,CNT-2025-0101,0,2024-05-29,2025-11-25,205725,USD,Global IT Services,Finance,Data Engineering,John Martinez
SOW-2024-0081,-4,Expired,Data Engineering Team Augmentation,CNT-2024-0081,0,2024-11-25,2025-11-25,337099,GBP,PWC,Sales,Cybersecurity,Emily Johnson
SOW-2025-0099,-3,Expired,Data Engineering Team Augmentation,CNT-2025-0099,0,2023-11-27,2025-11-26,581061,USD,KPMG,Sales,Cybersecurity,William Brown
SOW-2023-0095,1,Pending Renewal,Business Intelligence Dashboard Development,CNT-2023-0095,21,2025-06-03,2025-11-30,737253,USD,Infosys,Engineering,Digital Transformation,John Martinez
SOW-2025-0076,2,Active,Mobile App Development,CNT-2025-0076,40,2025-06-04,2025-12-01,611543,EUR,Global IT Services,Sales,IT Infrastructure,William Brown
SOW-2024-0071,3,Active,Technical Support Tier 2/3,CNT-2024-0071,27,2023-12-03,2025-12-02,1413632,EUR,Agile Consulting,Engineering,DevOps,Sarah Chen
SOW-2024-0079,5,Active,Cloud Migration Support,CNT-2024-0079,8,2025-03-09,2025-12-04,108378,GBP,TCS,Data & Analytics,Digital Transformation,Jennifer Lee
SOW-2024-0031,6,Pending Renewal,Cybersecurity Assessment and Remediation,CNT-2024-0031,23,2024-06-08,2025-12-05,1347473,USD,Wipro,Operations,Quality Assurance,Carlos Hernandez
SOW-2024-0024,7,Active,Network Security Enhancement,CNT-2024-0024,4,2023-12-07,2025-12-06,136754,USD,CloudMasters Ltd,Finance,DevOps,Robert Garcia
SOW-2024-0107,8,Active,Technical Support Tier 2/3,CNT-2024-0107,46,2024-06-10,2025-12-07,1427141,USD,Infosys,Engineering,AI/ML Services,William Brown
SOW-2024-0037,8,Pending Renewal,Salesforce Customization,CNT-2024-0037,6,2025-06-10,2025-12-07,164277,USD,Accenture,Sales,Application Development,William Brown
SOW-2025-0039,9,Active,Software Development Services,CNT-2025-0039,19,2024-12-08,2025-12-08,1238488,USD,TCS,Sales,Cybersecurity,Jennifer Lee
SOW-2025-0003,9,Pending Renewal,DevOps Pipeline Implementation,CNT-2025-0003,16,2023-12-09,2025-12-08,1951161,USD,Cognizant,Engineering,DevOps,David Kim
SOW-2025-0028,13,Active,Technical Support Tier 2/3,CNT-2025-0028,16,2025-06-15,2025-12-12,315721,USD,Capgemini,Data & Analytics,Business Intelligence,Sarah Chen
SOW-2024-0015,14,Pending Renewal,QA Testing Services,CNT-2024-0015,40,2024-06-16,2025-12-13,710536,USD,Global IT Services,Finance,Application Development,Lisa Anderson
SOW-2024-0082,14,Active,DevOps Pipeline Implementation,CNT-2024-0082,16,2025-06-16,2025-12-13,255949,USD,EY,Data & Analytics,Project Management,Sarah Chen
SOW-2024-CRIT-002,15,Active,Cloud Infrastructure Migration,CNT-2024-CRIT-002,12,2024-12-14,2025-12-14,850000,USD,Deloitte,Technology,Cloud Services,Michael Rodriguez
SOW-2024-0068,16,Active,Mobile App Development,CNT-2024-0068,7,2023-12-16,2025-12-15,205324,EUR,Wipro,Finance,Application Development,Robert Garcia
SOW-2023-0133,16,Active,Salesforce Customization,CNT-2023-0133,5,2024-06-18,2025-12-15,180690,USD,Digital Innovations,Marketing,Cybersecurity,William Brown
SOW-2024-0140,17,Active,Software Development Services,CNT-2024-0140,39,2024-12-16,2025-12-16,1503317,EUR,Accenture,Human Resources,Project Management,Amanda Taylor
SOW-2024-0012,19,Active,Salesforce Customization,CNT-2024-0012,45,2024-12-18,2025-12-18,1996533,USD,EY,Finance,Cybersecurity,Emily Johnson
SOW-2023-0090,19,Active,Software Development Services,CNT-2023-0090,5,2025-06-21,2025-12-18,126926,GBP,TCS,Sales,Cloud Services,David Kim
SOW-2024-0127,20,Active,Mobile App Development,CNT-2024-0127,15,2025-06-22,2025-12-19,274747,USD,Global IT Services,Technology,DevOps,Lisa Anderson
SOW-2024-CRIT-004,20,Active,Software License Management,CNT-2024-CRIT-004,0,2024-12-19,2025-12-19,75000,USD,Tech Solutions Inc,Finance,IT Infrastructure,David Kim
SOW-2025-0064,27,Pending Renewal,Mobile App Development,CNT-2025-0064,19,2025-03-31,2025-12-26,299995,GBP,Deloitte,Technology,Cybersecurity,William Brown
SOW-2023-0074,27,Pending Renewal,Data Analytics Consulting,CNT-2023-0074,11,2025-03-31,2025-12-26,444487,GBP,PWC,Sales,AI/ML Services,Carlos Hernandez
SOW-2024-CRIT-001,28,Active,Enterprise Data Platform Development,CNT-2024-CRIT-001,25,2024-12-27,2025-12-27,1500000,USD,Accenture,Technology,Data Engineering,Sarah Chen
SOW-2025-0034,28,Pending Renewal,SAP Implementation Services,CNT-2025-0034,15,2024-06-30,2025-12-27,693950,GBP,KPMG,Marketing,Project Management,Maria Santos
SOW-2023-0019,29,Pending Renewal,Mobile App Development,CNT-2023-0019,14,2024-12-28,2025-12-28,275612,USD,KPMG,Product,Data Engineering,Carlos Hernandez
SOW-2023-0135,29,Pending Renewal,Data Analytics Consulting,CNT-2023-0135,8,2025-04-02,2025-12-28,278571,EUR,Wipro,Marketing,Digital Transformation,David Kim
SOW-2025-0083,30,Active,Data Analytics Consulting,CNT-2025-0083,17,2023-12-30,2025-12-29,256677,USD,Deloitte,Customer Service,Business Intelligence,Daniel Moore
SOW-2024-0004,31,Active,Business Intelligence Dashboard Development,CNT-2024-0004,19,2024-12-30,2025-12-30,243784,USD,Infosys,Finance,AI/ML Services,Carlos Hernandez
SOW-2025-0041,32,Active,Salesforce Customization,CNT-2025-0041,37,2025-07-04,2025-12-31,1083334,USD,Deloitte,Marketing,Digital Transformation,John Martinez
SOW-2024-0138,34,Active,Salesforce Customization,CNT-2024-0138,49,2025-01-02,2026-01-02,542993,USD,Deloitte,Finance,Quality Assurance,Robert Garcia
SOW-2023-0013,43,Active,Cloud Migration Support,CNT-2023-0013,22,2024-07-15,2026-01-11,1031492,USD,PWC,Marketing,Digital Transformation,Jennifer Lee
SOW-2025-0073,44,Active,Infrastructure Maintenance and Support,CNT-2025-0073,2,2025-07-16,2026-01-12,67574,USD,Infosys,Data & Analytics,Digital Transformation,Patricia Davis
SOW-2023-0110,45,Active,Data Engineering Team Augmentation,CNT-2023-0110,48,2025-01-13,2026-01-13,1923251,USD,Wipro,Engineering,Project Management,Robert Garcia
SOW-2025-0108,46,Active,UX/UI Design Services,CNT-2025-0108,10,2025-04-19,2026-01-14,124920,EUR,EY,Technology,AI/ML Services,Carlos Hernandez
SOW-2023-0005,47,Active,DevOps Pipeline Implementation,CNT-2023-0005,5,2024-07-19,2026-01-15,58413,GBP,TCS,Human Resources,DevOps,Jennifer Lee
SOW-2025-0069,53,Active,Network Security Enhancement,CNT-2025-0069,8,2025-07-25,2026-01-21,168312,USD,Accenture,Customer Service,Data Engineering,Carlos Hernandez
SOW-2023-0018,54,Active,Cybersecurity Assessment and Remediation,CNT-2023-0018,31,2024-01-23,2026-01-22,1086264,USD,Accenture,Human Resources,Quality Assurance,Daniel Moore
SOW-2023-0086,55,Active,QA Testing Services,CNT-2023-0086,49,2024-07-27,2026-01-23,1150440,USD,KPMG,Sales,Digital Transformation,William Brown
SOW-2025-0139,56,Active,Data Engineering Team Augmentation,CNT-2025-0139,19,2024-07-28,2026-01-24,490467,EUR,Cognizant,Customer Service,Project Management,Sarah Chen
SOW-2024-0146,56,Active,Network Security Enhancement,CNT-2024-0146,10,2025-07-28,2026-01-24,563077,USD,Deloitte,Sales,IT Infrastructure,Jennifer Lee
SOW-2025-0021,56,Active,Cybersecurity Assessment and Remediation,CNT-2025-0021,5,2024-07-28,2026-01-24,70203,USD,Global IT Services,Sales,Cybersecurity,Patricia Davis
SOW-2023-0089,66,Active,Technical Support Tier 2/3,CNT-2023-0089,1,2025-08-07,2026-02-03,30278,EUR,CloudMasters Ltd,Human Resources,Project Management,David Kim
SOW-2023-0100,67,Active,Infrastructure Maintenance and Support,CNT-2023-0100,18,2025-08-08,2026-02-04,397245,USD,DataCore Systems,Sales,Business Intelligence,John Martinez
SOW-2024-0042,70,Active,Network Security Enhancement,CNT-2024-0042,26,2024-08-11,2026-02-07,615994,USD,Deloitte,Engineering,Cloud Services,Patricia Davis
SOW-2024-0087,73,Active,QA Testing Services,CNT-2024-0087,16,2025-05-16,2026-02-10,274869,GBP,Agile Consulting,Human Resources,Digital Transformation,Michael Rodriguez
SOW-2023-0060,77,Active,Salesforce Customization,CNT-2023-0060,9,2025-02-14,2026-02-14,62057,GBP,Digital Innovations,Engineering,Project Management,Sarah Chen
SOW-2023-0130,82,Active,UX/UI Design Services,CNT-2023-0130,9,2025-05-25,2026-02-19,184106,GBP,TCS,Marketing,Digital Transformation,Sarah Chen
